model,train_file,val_file,test_file,samples_train_ag,samples_val_ag,samples_test_ag,seed,mae_ng_ml,rmse_ng_ml,mape_pct,r2,features_file,mono_weight
A_SpectralPredictor_V1,C:\Users\Spc\Desktop\3.LSPR-code\LSPR_code\DeepLearning\LSPR_Spectra_Master\data\processed\splits_reconstructed\train_preprocessed_pairs.xlsx,C:\Users\Spc\Desktop\3.LSPR-code\LSPR_code\DeepLearning\LSPR_Spectra_Master\data\processed\splits_reconstructed\val_preprocessed_pairs.xlsx,C:\Users\Spc\Desktop\3.LSPR-code\LSPR_code\DeepLearning\LSPR_Spectra_Master\data\processed\splits_reconstructed\test_preprocessed_pairs.xlsx,181,39,39,20260325,11.279131889343262,22.285011291503903,40.92665100097656,0.3342240072551913,,
B_SpectralPredictorV2,C:\Users\Spc\Desktop\3.LSPR-code\LSPR_code\DeepLearning\LSPR_Spectra_Master\data\processed\splits_reconstructed\train_preprocessed_pairs.xlsx,C:\Users\Spc\Desktop\3.LSPR-code\LSPR_code\DeepLearning\LSPR_Spectra_Master\data\processed\splits_reconstructed\val_preprocessed_pairs.xlsx,C:\Users\Spc\Desktop\3.LSPR-code\LSPR_code\DeepLearning\LSPR_Spectra_Master\data\processed\splits_reconstructed\test_preprocessed_pairs.xlsx,181,39,39,20260325,6.4774274826049805,13.29680633544922,30.163240432739254,0.7629733944538982,,
C_SpectralPredictorV2_Fusion,C:\Users\Spc\Desktop\3.LSPR-code\LSPR_code\DeepLearning\LSPR_Spectra_Master\data\processed\splits_reconstructed\train_preprocessed_pairs.xlsx,C:\Users\Spc\Desktop\3.LSPR-code\LSPR_code\DeepLearning\LSPR_Spectra_Master\data\processed\splits_reconstructed\val_preprocessed_pairs.xlsx,C:\Users\Spc\Desktop\3.LSPR-code\LSPR_code\DeepLearning\LSPR_Spectra_Master\data\processed\splits_reconstructed\test_preprocessed_pairs.xlsx,181,39,39,20260325,5.585519790649414,10.821917533874512,28.321224212646484,0.8429959615203084,C:\Users\Spc\Desktop\3.LSPR-code\LSPR_code\DeepLearning\LSPR_Spectra_Master\data\processed\Reconstructed_Preprocessed_Features_and_Delta.xlsx,0.05
